,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000185554,11.1646877262375,6.47174519703863,2.27321203319267,2.84696064535133,0.00441388186137964,0.021277954628306
ENSG00000185658,71.4831710665062,-1.46179429540224,0.562089265575356,-2.60064439036378,0.00930488523595211,0.039413344782661
ENSG00000185945,58.7783690011812,22.2901899122238,2.68559908180481,8.29989482169621,1.04203605821653e-16,7.28383204693355e-14
ENSG00000186530,8.86588025542751,6.15353773229797,1.34391240299719,4.57882352940143,4.6759848266218e-06,0.000116732621207451
ENSG00000186652,2.00301117465597,4.37573113388218,1.70591640515914,2.56503256586829,0.0103166121701871,0.0421714146605892
ENSG00000186847,37.0856456030483,7.4338565556036,1.69292985551439,4.39111905988854,1.1276876718216e-05,0.000210528407323152
ENSG00000186867,4.38276873759105,5.55706799219041,1.85328359345955,2.99849845528334,0.00271313531706199,0.0143672847471692
ENSG00000188859,117.303654971623,4.33442302199731,1.42859116678781,3.03405419462537,0.00241291080263104,0.0131767550862429
ENSG00000189316,19.1144673536734,3.24710795678288,1.03736990458463,3.1301351065154,0.00174725921882235,0.0100109360160396
ENSG00000197415,74.9474717781647,8.45057726713949,1.39340853713987,6.06468027279728,1.32216405381858e-09,1.54032112269864e-07
ENSG00000197576,14.2051608886563,6.41320356086436,1.85810422882127,3.45147675861688,0.000557527771629377,0.00426034289410153
ENSG00000197632,18.5721971706147,5.03968008528517,1.37823310248041,3.65662388765386,0.000255558926690175,0.00248105124661711
ENSG00000198039,19.4789417624908,3.79139632139393,1.34218556841978,2.82479294264631,0.00473111784049211,0.0224969480986666
ENSG00000198053,43.2490827166415,4.10186545754394,0.934812875552361,4.38790004376035,1.14450350189982e-05,0.000210528407323152
ENSG00000198250,5.57088628684849,4.61059820954683,1.56696633221127,2.94237222253554,0.00325708170213225,0.016864445257707
ENSG00000198542,25.6268038859669,6.43981484936111,1.65812941202745,3.88378301636115,0.000102843694887341,0.00123944384010778
ENSG00000198643,16.4517848510965,3.01550606389443,1.00780300031034,2.99215825212451,0.00277012624621009,0.0145587838052696
ENSG00000198771,320.241554530063,8.88393963161272,1.51250502180253,5.87365959355645,4.2627825429312e-09,3.72460624688614e-07
ENSG00000205325,22.4253599586432,6.25808875381247,1.44441007837425,4.33262606479197,1.47341244027624e-05,0.000243351308445146
ENSG00000206249,28.9670181797575,7.44561271021047,1.71134228737393,4.35074430471522,1.35676193962463e-05,0.000232342497641554
ENSG00000206432,53.9968795388708,9.17598801020295,1.71051238075364,5.36446746217648,8.11883928323177e-08,3.783379105986e-06
ENSG00000211455,16.8143174950748,2.21423662208056,0.629028322118049,3.52009050184709,0.000431399571693535,0.00358986072159263
ENSG00000213023,4.48873957941859,3.98241414167205,1.54780496460928,2.5729431244442,0.0100837777289965,0.0414621213680504
ENSG00000213406,3.01915317102913,4.07309395011631,1.56935279154207,2.59539726954194,0.00944816425582808,0.039413344782661
ENSG00000214491,5.26867517383723,4.54328278571646,1.75027614600998,2.5957519880926,0.00943841657385356,0.039413344782661
ENSG00000215386,34.497331593938,3.93781647574324,1.15017160878481,3.42367734142182,0.000617799266231007,0.0046434590010266
ENSG00000224853,10.5935854912293,6.8314744389328,1.55101080160014,4.40453053704394,1.06013207414323e-05,0.00020584231106281
ENSG00000225156,9.85219089335227,3.82845697638049,1.31351756393705,2.91465990367524,0.00356076343062217,0.0179636928016517
ENSG00000225968,15.1369409720038,6.92213152278561,1.95668513005903,3.53768289871798,0.000403654513159016,0.0034409085938799
ENSG00000226329,13.9521056156278,7.22643564902938,1.45984828401914,4.95012785104911,7.41647448311249e-07,2.25396333204158e-05
ENSG00000227019,11.6857377500405,6.96851830445191,2.59644504852158,2.68386897247057,0.00727756217969855,0.031793849772558
ENSG00000228340,19.4077127198613,7.70106905009066,1.70478230290577,4.51733282130177,6.26234347881733e-06,0.000139010944976749
ENSG00000229162,7.16757799178221,6.26011576209758,1.39138475128134,4.49919819541832,6.82102421716004e-06,0.000144366254468808
ENSG00000229298,11.0091061930433,2.42407324030628,0.813594889857707,2.97945976618687,0.00288757148291879,0.0150627796011958
ENSG00000229967,9.12199445506596,6.59744597135769,1.81543526322423,3.63408495196934,0.000278968940752167,0.00261470639176234
ENSG00000230928,29.0777078267869,4.6320041091305,1.47560192336376,3.13906076956816,0.00169490294768122,0.00979121620189399
ENSG00000231106,32.2236614190043,8.43140756492294,1.95377315617474,4.31544856590753,1.59279136178283e-05,0.000253036627701409
ENSG00000231817,78.5302051535072,9.71630313306124,1.58308159784735,6.13758832537334,8.37836386122091e-10,1.46411908474835e-07
ENSG00000231826,10.4764686675881,6.3911048759971,1.37424503895065,4.65062976023346,3.30922952438754e-06,8.6895828056907e-05
ENSG00000232295,258.154510976337,2.31573459129748,0.703387659925487,3.29225933753628,0.000993859183206615,0.00655384499114551
ENSG00000233332,2.92778065373339,4.99466715777636,1.46098764988856,3.41869225120235,0.000629228492775339,0.00467905017499959
ENSG00000233429,15.432500516244,7.36856468356415,1.55763510048798,4.73061032154176,2.23845839235877e-06,6.25872966503511e-05
ENSG00000234899,37.0231925229995,8.21680981121844,1.42963923733328,5.74747082805682,9.05882222638532e-09,5.27676394686945e-07
ENSG00000236008,74.2635389073416,-2.6747215174665,1.06347053106245,-2.5150875735074,0.011900282001996,0.0469960289231369
ENSG00000236081,121.606497586555,4.5862846889425,1.44067564467226,3.18342626662912,0.00145543176185125,0.00854913278600023
ENSG00000236548,13.7013252777514,3.33019502040207,1.02887394246175,3.2367376439081,0.00120904510754219,0.00754662144327055
ENSG00000240990,84.0187863927202,6.22086834740938,1.94026961878294,3.20618757681291,0.00134506277312738,0.00808504069362938
ENSG00000241666,20.0192807097631,7.74478311462551,2.29456223930826,3.37527698397073,0.000737414318846308,0.00520659200882393
ENSG00000241732,7.75301871185297,6.37212454059417,1.80569740026169,3.52889943778548,0.000417291669019996,0.00351429971861418
ENSG00000244405,2.60478003758389,4.81498175711716,1.73940372591115,2.76817951197324,0.00563703970863147,0.0257273533272496
ENSG00000248458,3.7132933692593,5.28377580070434,2.03504447822126,2.59639327653548,0.00942081670352753,0.039413344782661
ENSG00000250620,13.0663869038471,7.13115824106644,1.92991472222046,3.69506391083525,0.000219831484585846,0.00219517439607867
ENSG00000251320,10.7603485534462,6.85797758173495,1.24325422838076,5.51615061922364,3.46505321338676e-08,1.73005156868382e-06
ENSG00000253508,10.4848175471872,6.80234370655319,2.53023633692654,2.68842226604648,0.00717905484734873,0.0315607505553255
ENSG00000253552,81.33722574827,7.90592961746958,2.32287634997288,3.40350859293991,0.000665263207757751,0.00479401012600689
ENSG00000253649,8.7229076011587,3.87908908894111,1.18336436894969,3.27801748195616,0.00104538921088841,0.00676997351429183
ENSG00000253831,38.716872093924,8.28229190203362,1.83483158578314,4.5139248562143,6.36387730937908e-06,0.000139010944976749
ENSG00000254148,46.6215033446629,8.54985373840312,1.75754292328774,4.86466283418522,1.14652083855056e-06,3.33924194227851e-05
ENSG00000254369,292.180027862379,6.35262989796229,1.65371783304018,3.84142310800607,0.000122323055404655,0.00137940992444028
ENSG00000254607,4.94842880894727,4.87896320072501,1.35356123523771,3.60453821645399,0.000312708434800209,0.00283874280422528
ENSG00000254877,4.14954842787621,3.75251053163998,1.36376538037574,2.75158072322242,0.0059308400661384,0.0267461755240693
ENSG00000255240,88.532958268331,4.36346816179273,1.44023517859351,3.02969141890699,0.00244803718746117,0.0132649456901966
ENSG00000256124,73.9791471966336,6.71003849105753,1.48534183767211,4.5175045372544,6.25726876637485e-06,0.000139010944976749
ENSG00000256262,11.4711579507141,-2.50771727574603,0.651788701274775,-3.84743901028265,0.000119358977579958,0.00137940992444028
ENSG00000257588,31.3216510487907,5.90382663023956,1.54372231756125,3.82440971609864,0.000131085769857661,0.00145442782746833
